case_id,start_time,end_time,estimated_budget,product_type,Activity,Resource,role
1,2020-01-01T00:00:00,2020-01-01T00:37:00,5813.21, Aluminium, Create Request for Quote,Lexi Larsen,Sales Rep
1,2020-01-01T05:37:00,2020-01-01T05:45:00,5813.21, Aluminium, Customize Existing Product Design,Lexi Larsen,Sales Engineer
1,2020-01-01T06:41:00,2020-01-01T06:55:00,5813.21, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1,2020-01-02T01:22:00,2020-01-02T09:20:00,5813.21, Aluminium, Prepare Quote,Alyvia Berger,Sales Engineer
1,2020-01-03T11:20:00,2020-01-03T11:21:00,5813.21, Aluminium, Approve Quote,Rachael Tanner,Senior Sales Engineer
1,2020-01-04T00:54:00,2020-01-04T00:54:00,5813.21, Aluminium, Submit Quote,Katelyn Pitts,Sales Rep
10,2020-01-02T02:52:00,2020-01-02T03:43:00,5122.11, Aluminium, Create Request for Quote,Roland Salazar,Sales Rep
10,2020-01-02T10:25:00,2020-01-02T10:32:00,5122.11, Aluminium, Customize Existing Product Design,Nathanial Oliver,Sales Engineer
10,2020-01-02T15:32:00,2020-01-02T15:59:00,5122.11, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
10,2020-01-03T23:53:00,2020-01-04T04:31:00,5122.11, Aluminium, Prepare Quote,Karter Chapman,Sales Engineer
10,2020-01-07T08:54:00,2020-01-07T08:55:00,5122.11, Aluminium, Approve Quote,Morgan Roach,Senior Sales Engineer
10,2020-01-10T00:23:00,2020-01-10T00:23:00,5122.11, Aluminium, Submit Quote,Mariam Tate,Sales Rep
1004,2020-05-26T19:39:00,2020-05-26T19:56:00,23240.33, Aluminium, Create Request for Quote,Morgan Roach,Sales Rep
1004,2020-05-27T13:35:00,2020-05-27T13:44:00,23240.33, Aluminium, Analyze Request for Quote,Brynn Warren,Sales Engineer
1004,2020-05-27T13:50:00,2020-05-27T13:51:00,23240.33, Aluminium, Prepare New Product Design,Brynn Warren,Sales Engineer
1004,2020-05-31T22:43:00,2020-05-31T23:18:00,23240.33, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1008,2020-05-28T07:27:00,2020-05-28T07:50:00,489.14, Aluminium, Create Request for Quote,Hugh Collins,Sales Rep
1008,2020-05-28T14:05:00,2020-05-28T14:14:00,489.14, Aluminium, Customize Existing Product Design,Emilee Dorsey,Sales Engineer
1008,2020-06-09T22:49:00,2020-06-09T23:20:00,489.14, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1009,2020-05-28T08:30:00,2020-05-28T08:52:00,20690.67, Aluminium, Create Request for Quote,Jaylen Gardner,Sales Rep
1009,2020-05-28T16:05:00,2020-05-28T16:14:00,20690.67, Aluminium, Customize Existing Product Design,Nathanial Oliver,Sales Engineer
1009,2020-05-30T16:31:00,2020-05-30T16:54:00,20690.67, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1009,2020-05-30T17:47:00,2020-05-30T17:55:00,20690.67, Aluminium, Amend Production Plan,Lexi Larsen,Production Engineer
1009,2020-05-31T23:45:00,2020-06-01T00:09:00,20690.67, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1009,2020-06-01T01:02:00,2020-06-01T01:11:00,20690.67, Aluminium, Amend Production Plan,Nathanial Oliver,Production Engineer
1009,2020-06-01T02:19:00,2020-06-01T02:46:00,20690.67, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1009,2020-06-01T03:30:00,2020-06-01T03:40:00,20690.67, Aluminium, Amend Production Plan,Dallas Melendez,Production Engineer
1009,2020-06-09T01:58:00,2020-06-09T02:20:00,20690.67, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1009,2020-06-09T18:22:00,2020-06-09T18:35:00,20690.67, Aluminium, Request Customer Info,Brynn Warren,Sales Rep
1009,2020-08-08T02:49:00,2020-08-08T03:06:00,20690.67, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1009,2020-08-09T06:33:00,2020-08-09T14:47:00,20690.67, Aluminium, Prepare Quote,Karter Chapman,Sales Engineer
1009,2020-08-24T12:38:00,2020-08-24T12:39:00,20690.67, Aluminium, Approve Quote,Aria Bonilla,Senior Sales Engineer
1009,2020-08-30T05:40:00,2020-08-30T05:40:00,20690.67, Aluminium, Submit Quote,Katelyn Pitts,Sales Rep
101,2020-01-13T12:14:00,2020-01-13T12:56:00,1663.33, Aluminium, Create Request for Quote,Dallas Melendez,Sales Rep
101,2020-01-14T11:56:00,2020-01-14T12:00:00,1663.33, Aluminium, Analyze Request for Quote,Brynn Warren,Sales Engineer
101,2020-01-14T12:08:00,2020-01-14T12:11:00,1663.33, Aluminium, Prepare New Product Design,Brynn Warren,Sales Engineer
101,2020-01-17T01:11:00,2020-01-17T01:27:00,1663.33, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
101,2020-01-19T22:34:00,2020-01-20T08:09:00,1663.33, Aluminium, Prepare Quote,Rayna Jackson,Sales Engineer
